"","gen","individual","X","Y"
"1",1,"1",0,0
"2",2,"1",0,0
"3",3,"1",0,0
"4",4,"1",0.00454708,0.00679854
"5",5,"1",0,0
"6",6,"1",0,0
"7",7,"1",0,0
"8",8,"1",-0.0224996,-0.00046016
"9",9,"1",0,0
"10",10,"1",0,0
"11",11,"1",0,0
"12",12,"1",-0.00919185,-0.00440228
"13",13,"1",0,0
"14",14,"1",0.01835096,0.01383404
"15",15,"1",0.00587837,-0.00517155
"16",16,"1",-0.00133543,0.00788577
"17",17,"1",0,0
"18",18,"1",0.01835096,0.01383404
"19",19,"1",0.01835096,0.01383404
"20",20,"1",0.01835096,0.01383404
"21",21,"1",0,0
"22",22,"1",0,0
"23",23,"1",0,0
"24",24,"1",0,0
"25",25,"1",0,0
"26",26,"1",0.00609984,-0.00534836
"27",27,"1",0.00609984,-0.00534836
"28",28,"1",0.00609984,-0.00534836
"29",29,"1",0.00609984,-0.00534836
"30",30,"1",-0.00756502,-0.01259372
"31",31,"1",0.00609984,-0.00534836
"32",32,"1",0.00609984,-0.00534836
"33",33,"1",0.01920469,0.00262961
"34",34,"1",0.02749653,0.00063135
"35",35,"1",0.03722881,0.00374524
"36",36,"1",0.03435706,-0.00355892
"37",37,"1",0.04376759,0.01019058
"38",38,"1",0.03881392,0.01640039
"39",39,"1",0.04552065,0.00174699
"40",40,"1",0.03881392,0.01640039
"41",1,"2",0,0
"42",2,"2",0,0
"43",3,"2",0,0
"44",4,"2",0.00454708,0.00679854
"45",5,"2",0,0
"46",6,"2",0,0
"47",7,"2",0,0
"48",8,"2",-0.0224996,-0.00046016
"49",9,"2",0,0
"50",10,"2",0,0
"51",11,"2",0,0
"52",12,"2",-0.00919185,-0.00440228
"53",13,"2",0,0
"54",14,"2",0.01835096,0.01383404
"55",15,"2",0.00587837,-0.00517155
"56",16,"2",-0.00133543,0.00788577
"57",17,"2",0,0
"58",18,"2",0.01835096,0.01383404
"59",19,"2",0.01835096,0.01383404
"60",20,"2",0.01835096,0.01383404
"61",21,"2",0,0
"62",22,"2",0,0
"63",23,"2",0,0
"64",24,"2",0,0
"65",25,"2",0,0
"66",26,"2",0.03431763,-0.01094725
"67",27,"2",0.00609984,-0.00534836
"68",28,"2",0.00609984,-0.00534836
"69",29,"2",0.00609984,-0.00534836
"70",30,"2",-0.00756502,-0.01259372
"71",31,"2",0.00609984,-0.00534836
"72",32,"2",0.00609984,-0.00534836
"73",33,"2",0.01920469,0.00262961
"74",34,"2",0.02749653,0.00063135
"75",35,"2",0.03722881,0.00374524
"76",36,"2",0.03435706,-0.00355892
"77",37,"2",0.04376759,0.01019058
"78",38,"2",0.03881392,0.01640039
"79",39,"2",0.04552065,0.00174699
"80",40,"2",0.03881392,0.01640039
"81",1,"3",0,0
"82",2,"3",0,0
"83",3,"3",-0.00788982,-0.02869893
"84",4,"3",0,0
"85",5,"3",0,0
"86",6,"3",0,0
"87",7,"3",-0.00180311,-0.00689565
"88",8,"3",0,0
"89",9,"3",0,0
"90",10,"3",0,0
"91",11,"3",0,0
"92",12,"3",-0.00333069,0.00429808
"93",13,"3",-0.01136312,-0.00129526
"94",14,"3",0,0
"95",15,"3",0,0
"96",16,"3",0,0
"97",17,"3",0.01686148,0.01750569
"98",18,"3",0.03551406,0.014433
"99",19,"3",0,0
"100",20,"3",0.02186154,0.02475034
"101",21,"3",0,0
"102",22,"3",0,0
"103",23,"3",0,0
"104",24,"3",0.00837403,-0.01625537
"105",25,"3",0,0
"106",26,"3",0.00609984,-0.00534836
"107",27,"3",0.00609984,-0.00534836
"108",28,"3",0.00609984,-0.00534836
"109",29,"3",0.00609984,-0.00534836
"110",30,"3",0,0
"111",31,"3",0.00609984,-0.00534836
"112",32,"3",0.01315669,-0.0031837
"113",33,"3",0.00625363,0.00511476
"114",34,"3",-0.00060689,0.00930504
"115",35,"3",0.03722881,0.00374524
"116",36,"3",0.0207898,0.01528475
"117",37,"3",0.03052208,0.01839864
"118",38,"3",0.05248636,-0.0014949
"119",39,"3",0.04274972,0.01506621
"120",40,"3",0.05104156,0.01306795
"121",1,"4",0,0
"122",2,"4",0,0
"123",3,"4",-0.00788982,-0.02869893
"124",4,"4",0,0
"125",5,"4",0,0
"126",6,"4",0,0
"127",7,"4",-0.00180311,-0.00689565
"128",8,"4",0,0
"129",9,"4",0,0
"130",10,"4",0,0
"131",11,"4",0,0
"132",12,"4",-0.00333069,0.00429808
"133",13,"4",-0.01136312,-0.00129526
"134",14,"4",0,0
"135",15,"4",0,0
"136",16,"4",0,0
"137",17,"4",0.01686148,0.01750569
"138",18,"4",0.03551406,0.014433
"139",19,"4",0,0
